# expressivity.csv — ts=2026-09-02T19:54:06Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; target=100000; bank=100; seed=12345
uniqueOut,entropy,nEmpty,nSpace,nPath,respSpace,respPath,respFrac,avgSize,nodes
1,0.0000,100,3,2,0,0,0.0000,0.000,21
1,0.0000,100,3,2,0,0,0.0000,0.000,19
1,0.0000,100,1,2,0,0,0.0000,0.000,29
1,0.0000,0,3,1,0,0,0.0000,5.000,14
10,1.7026,68,3,0,1,0,0.3333,0.360,14
1,0.0000,100,1,0,0,0,0.0000,0.000,22
1,0.0000,100,3,1,0,0,0.0000,0.000,23
1,0.0000,100,3,2,0,0,0.0000,0.000,24
1,0.0000,100,1,0,0,0,0.0000,0.000,57
1,0.0000,100,1,1,0,0,0.0000,0.000,48
2,0.1944,97,3,1,0,1,0.2500,0.030,45
15,3.5949,12,2,0,2,0,1.0000,2.280,41
1,0.0000,100,1,2,0,0,0.0000,0.000,30
1,0.0000,100,1,0,0,0,0.0000,0.000,33
1,0.0000,100,2,1,0,0,0.0000,0.000,13
1,0.0000,100,1,1,0,0,0.0000,0.000,13
2,0.8113,75,2,1,1,0,0.3333,0.250,16
1,0.0000,100,3,1,0,0,0.0000,0.000,35
1,0.0000,100,2,1,0,0,0.0000,0.000,22
1,0.0000,100,2,1,0,0,0.0000,0.000,40
1,0.0000,100,2,0,0,0,0.0000,0.000,40
1,0.0000,100,3,0,0,0,0.0000,0.000,17
1,0.0000,100,1,2,0,0,0.0000,0.000,20
1,0.0000,100,2,0,0,0,0.0000,0.000,25
4,0.5612,90,1,2,1,0,0.3333,0.130,30
10,1.4787,70,2,0,2,0,1.0000,0.330,13
34,4.1930,19,3,1,0,1,0.2500,0.810,40
1,0.0000,100,1,1,0,0,0.0000,0.000,33
1,0.0000,100,1,1,0,0,0.0000,0.000,56
1,0.0000,100,2,1,0,0,0.0000,0.000,21
1,0.0000,100,3,1,0,0,0.0000,0.000,23
17,2.7015,38,2,1,1,1,0.6667,1.000,31
1,0.0000,100,1,2,0,0,0.0000,0.000,45
96,6.5563,0,2,1,1,0,0.3333,4.050,18
1,0.0000,100,2,0,0,0,0.0000,0.000,58
94,6.4688,6,3,0,1,0,0.3333,4.290,18
1,0.0000,100,3,1,0,0,0.0000,0.000,24
1,0.0000,100,1,2,0,0,0.0000,0.000,12
1,0.0000,100,3,0,0,0,0.0000,0.000,31
1,0.0000,100,1,0,0,0,0.0000,0.000,27
5,0.8332,86,2,1,1,0,0.3333,0.160,39
98,6.6039,0,1,1,1,0,0.5000,4.380,16
1,0.0000,100,1,1,0,0,0.0000,0.000,18
1,0.0000,0,3,0,0,0,0.0000,2.000,49
20,2.2901,63,3,1,1,0,0.2500,0.650,14
1,0.0000,100,1,1,0,0,0.0000,0.000,80
2,0.0808,99,1,2,0,1,0.3333,0.010,15
15,3.6620,5,3,1,1,0,0.2500,2.120,18
1,0.0000,100,2,1,0,0,0.0000,0.000,57
54,5.0291,0,1,0,1,0,1.0000,3.550,30
1,0.0000,100,2,2,0,0,0.0000,0.000,33
1,0.0000,100,3,0,0,0,0.0000,0.000,13
1,0.0000,100,2,0,0,0,0.0000,0.000,36
2,0.1414,98,3,0,0,0,0.0000,0.020,39
2,0.0808,99,1,0,0,0,0.0000,0.010,30
1,0.0000,100,3,2,0,0,0.0000,0.000,18
1,0.0000,100,3,1,0,0,0.0000,0.000,24
1,0.0000,100,3,0,0,0,0.0000,0.000,22
1,0.0000,100,3,0,0,0,0.0000,0.000,29
1,0.0000,100,1,1,0,0,0.0000,0.000,19
46,4.8726,0,3,2,0,1,0.2000,1.000,47
1,0.0000,100,2,1,0,0,0.0000,0.000,90
5,1.1166,78,1,1,0,1,0.5000,0.220,19
1,0.0000,100,3,0,0,0,0.0000,0.000,22
39,3.0931,59,2,2,1,1,0.5000,1.060,115
2,0.0808,1,2,0,0,0,0.0000,0.990,30
29,2.2015,72,2,0,1,0,0.5000,1.130,22
2,0.9815,58,3,0,0,0,0.0000,0.420,59
1,0.0000,100,2,2,0,0,0.0000,0.000,33
1,0.0000,100,1,2,0,0,0.0000,0.000,14
1,0.0000,100,3,1,0,0,0.0000,0.000,48
1,0.0000,0,3,0,0,0,0.0000,2.000,24
1,0.0000,100,3,1,0,0,0.0000,0.000,33
40,4.8321,0,1,2,0,1,0.3333,1.000,14
1,0.0000,100,3,1,0,0,0.0000,0.000,48
5,0.7369,88,1,2,0,1,0.3333,0.120,12
1,0.0000,100,1,2,0,0,0.0000,0.000,17
1,0.0000,100,2,1,0,0,0.0000,0.000,48
1,0.0000,100,3,1,0,0,0.0000,0.000,22
1,0.0000,100,1,0,0,0,0.0000,0.000,39
1,0.0000,100,2,2,0,0,0.0000,0.000,56
14,3.3614,0,3,1,1,0,0.2500,2.710,16
1,0.0000,100,1,0,0,0,0.0000,0.000,22
1,0.0000,100,1,2,0,0,0.0000,0.000,14
1,0.0000,100,2,0,0,0,0.0000,0.000,38
2,0.1414,98,1,1,0,0,0.0000,0.020,15
1,0.0000,0,1,2,0,0,0.0000,1.000,16
46,4.8726,0,2,1,0,1,0.3333,1.000,19
1,0.0000,100,1,1,0,0,0.0000,0.000,257
1,0.0000,100,1,2,0,0,0.0000,0.000,18
1,0.0000,100,3,1,0,0,0.0000,0.000,35
1,0.0000,100,2,2,0,0,0.0000,0.000,51
1,0.0000,100,1,1,0,0,0.0000,0.000,13
96,6.5563,0,2,1,1,0,0.3333,7.910,34
98,6.6039,0,1,0,1,0,1.0000,4.380,28
1,0.0000,100,2,0,0,0,0.0000,0.000,60
1,0.0000,100,1,0,0,0,0.0000,0.000,81
2,0.4999,89,1,2,1,0,0.3333,0.110,21
96,6.5563,0,2,0,1,0,0.5000,4.040,27
4,1.9350,0,1,2,0,1,0.3333,1.000,27
1,0.0000,100,3,1,0,0,0.0000,0.000,39
1,0.0000,100,3,0,0,0,0.0000,0.000,12
1,0.0000,100,3,2,0,0,0.0000,0.000,54
1,0.0000,100,2,0,0,0,0.0000,0.000,23
96,6.5563,0,3,1,1,0,0.2500,4.050,17
1,0.0000,100,2,1,0,0,0.0000,0.000,33
1,0.0000,100,2,2,0,0,0.0000,0.000,24
1,0.0000,100,1,1,0,0,0.0000,0.000,61
85,6.2737,0,3,1,1,1,0.5000,2.070,25
1,0.0000,100,3,2,0,0,0.0000,0.000,47
46,4.4622,29,2,0,1,0,0.5000,1.240,25
1,0.0000,100,1,2,0,0,0.0000,0.000,15
99,6.6239,0,3,1,1,1,0.5000,5.280,30
1,0.0000,100,3,2,0,0,0.0000,0.000,33
1,0.0000,0,3,0,0,0,0.0000,1.000,15
98,6.6039,0,2,0,1,0,0.5000,4.380,31
98,6.6039,0,1,1,1,0,0.5000,4.740,18
1,0.0000,100,3,2,0,0,0.0000,0.000,43
1,0.0000,100,2,1,0,0,0.0000,0.000,48
1,0.0000,100,3,2,0,0,0.0000,0.000,61
98,6.5963,0,2,0,2,0,1.0000,8.740,27
1,0.0000,100,3,1,0,0,0.0000,0.000,66
1,0.0000,100,3,0,0,0,0.0000,0.000,74
1,0.0000,100,3,2,0,0,0.0000,0.000,23
41,4.0709,2,3,0,2,0,0.6667,1.650,14
15,1.2850,83,3,1,2,0,0.5000,0.220,16
1,0.0000,100,3,2,0,0,0.0000,0.000,18
1,0.0000,0,2,2,0,0,0.0000,1.000,13
1,0.0000,100,2,1,0,0,0.0000,0.000,16
1,0.0000,100,1,1,0,0,0.0000,0.000,19
93,6.4763,4,2,1,1,0,0.3333,4.000,13
1,0.0000,100,3,2,0,0,0.0000,0.000,18
1,0.0000,100,3,0,0,0,0.0000,0.000,28
1,0.0000,100,3,1,0,0,0.0000,0.000,22
96,6.5563,0,2,0,1,0,0.5000,4.050,25
14,1.3810,81,3,1,0,1,0.2500,0.190,15
1,0.0000,100,3,0,0,0,0.0000,0.000,136
2,0.9149,67,1,1,0,1,0.5000,0.330,12
1,0.0000,100,2,2,0,0,0.0000,0.000,36
3,0.2747,96,2,0,1,0,0.5000,0.040,24
1,0.0000,100,3,2,0,0,0.0000,0.000,13
1,0.0000,100,3,1,0,0,0.0000,0.000,18
1,0.0000,100,3,2,0,0,0.0000,0.000,14
1,0.0000,0,3,0,0,0,0.0000,1.000,13
1,0.0000,100,3,0,0,0,0.0000,0.000,33
4,1.9350,24,3,2,0,1,0.2000,0.760,20
1,0.0000,100,2,1,0,0,0.0000,0.000,25
1,0.0000,100,3,2,0,0,0.0000,0.000,26
25,1.8954,76,1,2,0,1,0.3333,2.550,15
1,0.0000,100,1,2,0,0,0.0000,0.000,14
1,0.0000,100,2,2,0,0,0.0000,0.000,18
1,0.0000,100,3,0,0,0,0.0000,0.000,36
1,0.0000,100,1,1,0,0,0.0000,0.000,17
22,3.4860,27,3,2,1,0,0.2000,1.130,30
1,0.0000,100,2,2,0,0,0.0000,0.000,37
46,4.8726,0,2,1,0,1,0.3333,2.190,25
1,0.0000,100,2,1,0,0,0.0000,0.000,58
1,0.0000,100,3,0,0,0,0.0000,0.000,35
2,0.0808,99,3,1,0,0,0.0000,0.010,50
1,0.0000,100,3,1,0,0,0.0000,0.000,57
1,0.0000,100,1,1,0,0,0.0000,0.000,22
1,0.0000,100,1,2,0,0,0.0000,0.000,43
16,1.1959,85,1,2,1,1,0.6667,0.500,40
1,0.0000,100,2,1,0,0,0.0000,0.000,73
1,0.0000,100,1,1,0,0,0.0000,0.000,34
1,0.0000,100,2,1,0,0,0.0000,0.000,35
1,0.0000,0,3,2,0,0,0.0000,4.000,19
1,0.0000,100,1,1,0,0,0.0000,0.000,37
1,0.0000,100,2,0,0,0,0.0000,0.000,14
1,0.0000,100,2,2,0,0,0.0000,0.000,27
1,0.0000,100,1,0,0,0,0.0000,0.000,46
1,0.0000,100,2,1,0,0,0.0000,0.000,35
1,0.0000,100,1,1,0,0,0.0000,0.000,31
14,1.3231,82,1,2,0,1,0.3333,0.180,17
1,0.0000,100,1,1,0,0,0.0000,0.000,64
1,0.0000,100,2,0,0,0,0.0000,0.000,18
1,0.0000,0,1,2,0,0,0.0000,1.000,63
1,0.0000,100,1,1,0,0,0.0000,0.000,47
1,0.0000,100,1,1,0,0,0.0000,0.000,13
1,0.0000,100,2,0,0,0,0.0000,0.000,20
1,0.0000,100,2,1,0,0,0.0000,0.000,17
1,0.0000,100,3,1,0,0,0.0000,0.000,49
7,0.7529,89,2,2,0,1,0.2500,0.110,24
1,0.0000,100,2,1,0,0,0.0000,0.000,49
36,4.4009,0,1,0,1,0,1.0000,1.960,48
8,0.5624,93,3,2,0,0,0.0000,0.140,22
1,0.0000,100,2,1,0,0,0.0000,0.000,19
16,2.4233,49,1,1,1,1,1.0000,0.670,131
1,0.0000,100,2,2,0,0,0.0000,0.000,14
1,0.0000,0,3,2,0,0,0.0000,6.000,12
1,0.0000,100,2,1,0,0,0.0000,0.000,33
1,0.0000,100,3,2,0,0,0.0000,0.000,41
5,0.3825,95,1,2,0,0,0.0000,0.060,14
15,2.1961,62,2,2,0,1,0.2500,0.380,24
38,2.9861,61,2,2,2,0,0.5000,0.730,43
1,0.0000,100,3,0,0,0,0.0000,0.000,16
1,0.0000,100,1,1,0,0,0.0000,0.000,21
1,0.0000,100,1,0,0,0,0.0000,0.000,13
1,0.0000,100,1,2,0,0,0.0000,0.000,26
37,3.9352,37,2,0,1,0,0.5000,0.970,28
25,1.9522,75,2,0,1,0,0.5000,3.260,18
96,6.5639,0,3,1,1,0,0.2500,4.100,26
1,0.0000,100,2,2,0,0,0.0000,0.000,25
70,5.1518,30,2,2,1,0,0.2500,3.510,27
94,6.4878,5,2,0,1,0,0.5000,3.310,23
1,0.0000,100,1,0,0,0,0.0000,0.000,47
5,1.8837,48,2,2,0,1,0.2500,0.520,20
1,0.0000,100,2,0,0,0,0.0000,0.000,42
40,4.8321,2,2,2,0,1,0.2500,0.980,45
91,6.4288,4,2,2,1,0,0.2500,2.870,27
1,0.0000,100,1,0,0,0,0.0000,0.000,26
96,6.5563,0,3,0,1,0,0.3333,4.050,26
1,0.0000,100,3,2,0,0,0.0000,0.000,42
1,0.0000,100,2,2,0,0,0.0000,0.000,79
24,1.9322,75,2,0,1,0,0.5000,0.580,20
1,0.0000,100,3,1,0,0,0.0000,0.000,13
40,4.1475,28,1,0,1,0,1.0000,1.140,17
1,0.0000,100,3,1,0,0,0.0000,0.000,35
1,0.0000,100,1,0,0,0,0.0000,0.000,31
1,0.0000,100,3,0,0,0,0.0000,0.000,37
1,0.0000,100,3,2,0,0,0.0000,0.000,20
1,0.0000,100,2,1,0,0,0.0000,0.000,33
1,0.0000,0,2,0,0,0,0.0000,2.000,25
1,0.0000,100,1,0,0,0,0.0000,0.000,12
1,0.0000,100,3,0,0,0,0.0000,0.000,16
1,0.0000,100,1,0,0,0,0.0000,0.000,31
98,6.5963,0,2,0,2,0,1.0000,8.890,71
1,0.0000,0,2,2,0,0,0.0000,4.000,42
1,0.0000,100,2,2,0,0,0.0000,0.000,13
41,4.6610,0,2,1,0,1,0.3333,2.530,27
1,0.0000,100,2,1,0,0,0.0000,0.000,30
1,0.0000,100,3,1,0,0,0.0000,0.000,19
1,0.0000,100,2,1,0,0,0.0000,0.000,30
1,0.0000,100,3,0,0,0,0.0000,0.000,29
50,4.9403,11,2,0,1,0,0.5000,1.970,27
80,5.7215,21,1,2,1,0,0.3333,3.860,16
98,6.6039,0,1,2,1,0,0.3333,4.380,21
4,0.4150,94,3,2,0,0,0.0000,0.060,30
1,0.0000,100,1,1,0,0,0.0000,0.000,18
1,0.0000,100,2,2,0,0,0.0000,0.000,71
1,0.0000,100,2,0,0,0,0.0000,0.000,40
1,0.0000,100,2,0,0,0,0.0000,0.000,23
3,0.1614,98,2,1,0,1,0.3333,0.100,58
1,0.0000,100,3,1,0,0,0.0000,0.000,18
98,6.6039,0,1,1,1,0,0.5000,4.380,19
14,1.3810,81,3,1,0,1,0.2500,0.360,28
46,4.8726,0,3,1,0,1,0.2500,1.040,14
1,0.0000,100,2,0,0,0,0.0000,0.000,37
1,0.0000,100,1,1,0,0,0.0000,0.000,13
1,0.0000,100,1,1,0,0,0.0000,0.000,27
1,0.0000,100,1,0,0,0,0.0000,0.000,31
1,0.0000,100,3,2,0,0,0.0000,0.000,56
1,0.0000,0,2,2,0,0,0.0000,5.000,13
13,1.3031,82,3,1,0,1,0.2500,0.180,23
1,0.0000,100,3,0,0,0,0.0000,0.000,13
1,0.0000,100,1,0,0,0,0.0000,0.000,14
39,3.9334,41,3,0,1,0,0.3333,0.960,25
1,0.0000,100,3,1,0,0,0.0000,0.000,16
8,0.8320,88,3,2,0,1,0.2000,0.360,45
1,0.0000,100,3,0,0,0,0.0000,0.000,28
16,1.1959,85,2,0,1,0,0.5000,0.710,13
4,0.6205,89,3,0,1,0,0.3333,0.110,21
11,1.8059,66,2,0,1,0,0.5000,0.430,22
100,6.6439,0,3,2,2,0,0.4000,7.750,38
2,0.1944,97,2,1,0,1,0.3333,0.030,16
26,2.0289,74,2,0,1,0,0.5000,1.210,21
1,0.0000,100,2,1,0,0,0.0000,0.000,15
2,0.6343,16,2,0,1,0,0.5000,0.840,15
1,0.0000,100,1,1,0,0,0.0000,0.000,39
1,0.0000,100,1,1,0,0,0.0000,0.000,15
2,0.8415,73,3,2,0,1,0.2000,0.270,38
5,1.4301,70,3,2,0,1,0.2000,0.300,36
1,0.0000,100,2,0,0,0,0.0000,0.000,27
1,0.0000,100,1,2,0,0,0.0000,0.000,15
1,0.0000,100,3,0,0,0,0.0000,0.000,16
1,0.0000,100,3,2,0,0,0.0000,0.000,22
93,6.4488,6,1,0,1,0,1.0000,4.270,17
91,6.4363,4,1,1,1,0,0.5000,3.150,33
1,0.0000,100,3,2,0,0,0.0000,0.000,41
80,6.1461,0,2,0,1,0,0.5000,3.960,49
1,0.0000,100,3,1,0,0,0.0000,0.000,15
43,4.2413,0,1,2,0,1,0.3333,1.000,36
1,0.0000,100,3,2,0,0,0.0000,0.000,53
79,6.1478,0,1,2,0,2,0.6667,2.000,32
1,0.0000,100,2,2,0,0,0.0000,0.000,21
1,0.0000,100,1,0,0,0,0.0000,0.000,21
14,1.3810,81,3,1,0,1,0.2500,0.190,21
12,2.2693,53,1,2,1,0,0.3333,0.540,15
4,1.9562,0,2,1,0,1,0.3333,1.000,16
1,0.0000,100,3,1,0,0,0.0000,0.000,77
1,0.0000,100,1,2,0,0,0.0000,0.000,42
6,0.4025,95,1,1,1,0,0.5000,0.090,19
1,0.0000,100,2,0,0,0,0.0000,0.000,48
1,0.0000,100,3,1,0,0,0.0000,0.000,86
1,0.0000,100,3,0,0,0,0.0000,0.000,39
1,0.0000,100,2,0,0,0,0.0000,0.000,20
1,0.0000,0,3,1,0,0,0.0000,2.000,27
1,0.0000,100,2,2,0,0,0.0000,0.000,49
1,0.0000,100,3,2,0,0,0.0000,0.000,14
1,0.0000,100,1,2,0,0,0.0000,0.000,21
45,4.4217,24,2,0,2,0,1.0000,1.740,26
1,0.0000,100,1,1,0,0,0.0000,0.000,23
1,0.0000,100,3,2,0,0,0.0000,0.000,15
1,0.0000,100,3,1,0,0,0.0000,0.000,17
3,0.3225,95,2,1,0,1,0.3333,0.050,31
2,0.1414,98,1,2,0,1,0.3333,0.020,14
2,0.9954,46,3,0,1,0,0.3333,0.540,24
1,0.0000,100,3,1,0,0,0.0000,0.000,22
1,0.0000,100,1,2,0,0,0.0000,0.000,24
8,2.7264,0,2,1,1,0,0.3333,2.070,66
1,0.0000,0,3,1,0,0,0.0000,1.000,50
6,0.6057,91,1,0,1,0,1.0000,0.100,43
1,0.0000,0,3,0,0,0,0.0000,1.000,41
2,0.1414,98,2,2,1,0,0.2500,0.020,73
1,0.0000,100,3,0,0,0,0.0000,0.000,30
1,0.0000,100,3,0,0,0,0.0000,0.000,35
1,0.0000,100,2,1,0,0,0.0000,0.000,87
1,0.0000,100,1,1,0,0,0.0000,0.000,29
2,0.9248,34,2,0,1,0,0.5000,0.660,26
1,0.0000,100,2,2,0,0,0.0000,0.000,13
2,0.2864,95,1,2,0,1,0.3333,0.050,60
100,6.6439,0,3,2,1,1,0.4000,5.360,26
1,0.0000,100,1,2,0,0,0.0000,0.000,28
1,0.0000,100,2,0,0,0,0.0000,0.000,24
1,0.0000,100,2,2,0,0,0.0000,0.000,51
1,0.0000,100,2,1,0,0,0.0000,0.000,28
1,0.0000,100,1,0,0,0,0.0000,0.000,25
2,0.1414,98,1,1,0,0,0.0000,0.020,23
56,4.8599,29,3,1,1,0,0.2500,1.130,42
1,0.0000,100,2,1,0,0,0.0000,0.000,19
40,4.8321,0,3,2,0,1,0.2000,1.000,42
46,4.8726,0,1,1,0,1,0.5000,1.000,53
