# corpus_runtimes.csv — ts=2026-09-02T19:54:22Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; rows=1000; envs-per-program=1000; seed=424242
idx,nodes,nSpace,nPath,uniqueOut,evalI_ms_per1000
202,14,1,0,3,1.361
203,15,1,0,98,2.568
204,29,1,0,2,22.033
205,43,1,0,24,4.192
206,30,1,0,98,2.864
207,21,2,0,2,4.383
208,76,2,1,72,16.292
209,23,1,0,77,6.107
210,20,1,0,8,2.314
211,23,1,0,89,4.928
212,22,1,0,14,23.607
213,29,1,0,6,5.931
214,21,1,0,4,16.516
215,18,1,0,98,5.368
216,14,1,0,88,2.451
217,17,1,0,98,2.177
218,16,1,0,8,2.138
219,29,3,0,31,10.028
220,12,1,0,2,12.207
221,42,1,0,3,5.953
222,18,1,0,2,5.434
223,47,1,1,26,5.893
224,74,1,0,2,12.174
225,22,1,0,98,1.100
226,17,1,0,2,2.174
227,32,1,0,44,5.840
228,33,1,0,92,1.833
229,50,1,0,11,2.463
230,42,1,0,98,6.404
231,13,1,0,2,0.660
232,79,1,0,98,40.157
233,28,2,1,33,3.147
234,42,1,0,37,3.479
235,31,1,1,10,4.848
236,36,2,0,100,3.429
237,44,1,0,15,9.918
238,62,1,0,70,18.950
239,73,1,0,67,12.003
240,22,1,0,37,4.321
241,33,1,0,15,2.121
242,107,1,0,98,8.417
243,18,1,0,24,1.107
244,16,1,0,2,3.747
245,23,1,0,98,1.524
246,22,2,0,51,1.978
247,33,1,0,13,24.246
248,14,1,0,19,1.074
249,25,3,0,32,7.275
250,24,1,1,10,1.788
251,17,1,0,19,2.458
252,30,1,0,5,3.160
253,13,1,0,2,0.919
254,91,1,0,8,22.309
255,14,1,0,35,1.967
256,22,1,0,44,5.347
257,34,1,0,2,3.790
258,27,1,0,5,0.933
259,37,1,2,55,7.906
260,19,1,0,84,7.481
261,32,1,1,2,1.695
262,13,1,0,2,0.678
263,21,1,0,6,0.945
264,25,1,0,21,19.406
265,28,1,0,25,6.700
266,19,1,0,44,2.385
267,12,1,0,26,4.708
268,44,1,0,2,12.542
269,15,1,1,95,4.139
270,31,1,0,4,3.717
271,38,1,0,37,7.091
272,20,1,0,24,5.189
273,16,2,0,6,1.064
274,85,1,0,8,14.297
275,16,1,0,7,0.694
276,30,1,0,46,1.870
277,20,1,0,36,2.662
278,22,1,0,98,0.869
279,23,2,0,47,1.478
280,19,1,0,98,1.197
281,12,1,0,98,0.991
282,17,1,0,59,2.106
283,28,1,0,98,16.444
284,86,3,0,2,23.880
285,15,1,0,44,5.500
286,30,1,0,2,12.257
287,15,1,0,2,3.816
288,52,2,1,67,19.831
289,19,1,0,13,0.910
290,16,1,0,2,4.693
291,311,1,0,69,315.603
292,14,1,0,52,2.207
293,29,1,0,3,2.029
