# corpus_runtimes.csv — ts=2026-09-02T19:54:22Z; git=9b818f3-dirty; clean=no(103); cpu=Intel(R) Xeon(R) 6975P-C; cores=16; mem=247GiB; os=Linux 6.17.0-1019-aws; jvm=OpenJDK 64-Bit Server VM 21.0.12 (Ubuntu); heap=24.0GiB; scala=3.8.1; sbt=2.0.8; build=scalac 3.8.1 -source:3.3 -feature -explain; tools=z3=Z3 version 5.1.0 - 64 bit  vampire=Vampire 5.1.0 (Release build, commit 7b2f410 on 2026-08-13 10:17:34 +0200)  egglog=egglog 3.0.0_2026-09-02_e5dea2d5; literalByRef=true patriciaOps=true; rows=1000; envs-per-program=1000; seed=424242
idx,nodes,nSpace,nPath,uniqueOut,evalI_ms_per1000
910,28,1,0,2,1.348
911,17,1,0,2,7.076
912,31,1,0,9,4.469
913,95,1,0,97,11.863
914,20,1,0,15,1.699
915,25,1,1,44,4.721
916,14,1,0,71,2.173
917,24,1,0,27,3.172
918,16,1,0,6,2.111
919,16,1,0,14,6.881
920,16,1,0,2,0.819
921,25,1,0,98,2.445
922,28,1,0,97,3.627
923,38,1,1,65,3.018
924,51,1,0,91,116.228
925,56,1,0,8,33.488
926,52,1,0,19,12.800
927,31,1,0,92,5.891
928,24,1,0,72,8.092
929,57,1,0,29,1.643
930,57,1,0,23,15.818
931,27,1,0,98,3.418
932,20,1,0,98,4.647
933,29,2,0,100,24.285
934,16,1,0,40,3.383
935,46,1,0,5,3.687
936,20,1,0,2,2.740
937,28,1,0,98,1.748
938,66,1,0,7,11.405
939,12,1,0,98,0.719
940,30,1,1,4,5.520
941,24,1,0,2,1.367
942,23,1,0,5,1.207
943,21,1,0,8,2.240
944,18,1,0,90,1.087
945,37,2,0,95,3.614
946,17,2,0,38,2.723
947,116,1,0,98,20.396
948,41,2,0,21,4.952
949,21,1,0,58,2.537
950,14,1,0,2,5.644
951,27,1,0,2,9.513
952,16,1,0,3,2.366
953,88,1,0,17,7.184
954,45,1,0,46,1.951
955,25,1,0,98,2.478
956,25,1,0,16,7.873
957,20,1,0,2,1.167
958,42,1,0,13,3.220
959,14,2,0,75,1.065
960,19,1,0,98,1.365
961,35,1,0,2,4.288
962,33,1,0,2,3.807
963,56,1,1,35,5.443
964,78,1,0,40,37.595
965,70,2,0,15,33.048
966,31,1,0,94,1.623
967,47,1,0,97,4.888
968,29,1,0,98,7.672
969,114,1,0,40,49.828
970,22,1,0,9,4.805
971,14,2,0,66,5.826
972,28,1,0,16,5.954
973,17,1,0,2,1.436
974,25,1,0,98,10.495
975,44,1,0,15,6.014
976,28,1,0,96,2.124
977,33,1,1,80,10.574
978,25,1,0,4,7.325
979,39,1,0,98,14.820
980,65,1,0,13,36.561
981,55,1,0,98,8.636
982,41,1,0,98,10.683
983,25,1,0,2,5.790
984,17,2,0,40,4.890
985,66,1,0,14,20.503
986,34,2,0,97,4.709
987,15,1,0,98,1.983
988,19,2,0,100,1.945
989,16,2,0,36,2.258
990,16,1,0,98,0.971
991,118,1,0,98,10.738
992,14,1,0,8,9.107
993,42,1,0,11,4.555
994,21,1,0,9,10.290
995,20,1,0,9,1.159
996,28,1,0,38,6.070
997,48,1,0,98,1.851
998,51,1,0,37,2.683
999,46,1,0,48,3.194
