# DECISION CASES — one row per case; generated by DecisionsCheck, replayed by scripts/check_selection.py
# case	family	precondition	objective	alternatives	selected	component	predicted	counted	scalar-predictors(name=winner:verdict:counted)	verdict
tails-disjoint	n-ary tails	s and k have DISJOINT head sets ({a,b} against {c,d}); every path has length 3	alloc	2	a0d09217909ffff6/reference	alloc	[85, 85]	85	rewrite-count=a0d09217909ffff6:AGREES:85;output-cardinality=62589bd9816aa51f:DIFFERENTIATED:87	DIFFERENTIATED
tails-overlap	n-ary tails	s and k have the SAME head set ({a,b}); their depth-2 prefixes overlap on a.x and b.x	alloc	2	07f63bd902142ed6/reference	alloc	[86, 86]	86	rewrite-count=07f63bd902142ed6:AGREES:86;output-cardinality=07f63bd902142ed6:AGREES:86	AGREES
range-after-call	first/last range	s has 6 paths over heads {a,b,c}, k has 5; the ranges keep at most 2 and 1 result paths	work	6	3e2bb366a7943491/reference	work	[176, 496]	228	rewrite-count=03e8a942917d5ed6:DIFFERENTIATED:232;output-cardinality=03e8a942917d5ed6:DIFFERENTIATED:232	DIFFERENTIATED
fusion-alloc-work	fusion	s has 6 paths over heads {a,b,c}, k has 5 paths over {x,y,q,a,b}	alloc	7	14978b7772f126d2/reference	alloc	[51, 51]	51	rewrite-count=14978b7772f126d2:AGREES:51;output-cardinality=14978b7772f126d2:AGREES:51	AGREES
fusion-work-trie	fusion	the same inputs as fusion-alloc-work; the caller can only run the trie executor	work-on-trie	7	b74a8ec3bbe53433/trie	work	[103, 607]	152	rewrite-count=14978b7772f126d2:DIFFERENTIATED:160;output-cardinality=14978b7772f126d2:DIFFERENTIATED:160	DIFFERENTIATED
pointer-rebuild	pointer-preserving rebuild	s has 36 paths of length 3 under heads {a,b,c}; k has 3 paths; the restriction prefixes are {a, b.x}	alloc	2	d5cb8ea7383deebb/reference	alloc	[44, 44]	44	rewrite-count=d5cb8ea7383deebb:AGREES:44;output-cardinality=0c55c0741bee8469:DIFFERENTIATED:88	DIFFERENTIATED
puzzle15-expand	puzzle15 projection/materialization	the frontier is the single initial board (blank at c0, tiles 1..15 in order); one BFS expansion	work	4	6787aad8ed56d55c/graph	work	[32118, 32118]	32118	rewrite-count=6787aad8ed56d55c:AGREES:32118;output-cardinality=6787aad8ed56d55c:AGREES:32118	AGREES
puzzle15-expand-reference	puzzle15 projection/materialization	the same frontier; the caller runs the reference (set-based) evaluator	work-on-reference	4	a584d74eadacba81/reference	work	[72806, 74534]	73670	rewrite-count=6787aad8ed56d55c:DIFFERENTIATED:75366;output-cardinality=6787aad8ed56d55c:DIFFERENTIATED:75366	DIFFERENTIATED
