rule_id	kind	line	operations	tier	status	artifacts	note	rule
zipper-descend:0019	rule	227	needs-last-head,last-head,TrieZ,terminal	FOL	proved-unbounded	zipper_base_terminal_equiv,zipper_base_child_equiv,zipper_union_terminal_equiv,zipper_intersection_terminal_equiv,zipper_diff_terminal_equiv,set_terminal_product,set_terminal_wrap,set_terminal_unwrap,set_terminal_head_empty,set_terminal_nonempty_paths_empty,set_terminal_prefix_closure_empty,set_terminal_prefix_closure_below,set_terminal_suffix_closure_empty	mapped to first-order proof artifact(s)	(rule ((needs-last-head z) (= z (TrieZ (Union a b))) (terminal (TrieZ b)) (last-head (TrieZ a) item)) ((last-head z item)))
zipper-descend:0020	rule	229	UnionOp,needs-first-head,first-head,ordered-before	mixed	proved-bounded	zipper_union_terminal_equiv,zipper_union_child_equiv,set_child_union_fo,set_union_idempotent_fo,set_union_associative_fo,child_union_a,child_union_b,child_same_head_union_a,child_same_head_union_b,union_idempotent,union_associative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (UnionOp a b)) (first-head a left) (first-head b right) (ordered-before left right)) ((first-head z left)))
zipper-descend:0021	rule	231	UnionOp,needs-first-head,first-head,ordered-before	mixed	proved-bounded	zipper_union_terminal_equiv,zipper_union_child_equiv,set_child_union_fo,set_union_idempotent_fo,set_union_associative_fo,child_union_a,child_union_b,child_same_head_union_a,child_same_head_union_b,union_idempotent,union_associative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (UnionOp a b)) (first-head a left) (first-head b right) (ordered-before right left)) ((first-head z right)))
zipper-descend:0022	rule	233	UnionOp,needs-last-head,last-head,ordered-before	mixed	proved-bounded	zipper_union_terminal_equiv,zipper_union_child_equiv,set_child_union_fo,set_union_idempotent_fo,set_union_associative_fo,child_union_a,child_union_b,child_same_head_union_a,child_same_head_union_b,union_idempotent,union_associative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (UnionOp a b)) (last-head a left) (last-head b right) (ordered-before left right)) ((last-head z right)))
zipper-descend:0023	rule	235	UnionOp,needs-last-head,last-head,ordered-before	mixed	proved-bounded	zipper_union_terminal_equiv,zipper_union_child_equiv,set_child_union_fo,set_union_idempotent_fo,set_union_associative_fo,child_union_a,child_union_b,child_same_head_union_a,child_same_head_union_b,union_idempotent,union_associative	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (UnionOp a b)) (last-head a left) (last-head b right) (ordered-before right left)) ((last-head z left)))
zipper-descend:0024	rule	237	WrapOp,needs-first-head,first-head	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (WrapOp src (Eps))) (first-head src item)) ((first-head z item)))
zipper-descend:0025	rule	239	WrapOp,needs-last-head,last-head	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (WrapOp src (Eps))) (last-head src item)) ((last-head z item)))
zipper-descend:0026	rule	241	WrapOp,needs-first-head,first-head,last-head,nonempty-focus	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (WrapOp src (Item item))) (nonempty-focus src)) ((first-head z item) (last-head z item)))
zipper-descend:0027	rule	244	WrapOp,needs-last-head,last-head,nonempty-focus	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (WrapOp src (Item item))) (nonempty-focus src)) ((last-head z item)))
zipper-descend:0028	rule	246	WrapOp,needs-first-head,first-head,last-head,nonempty-focus	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-first-head z) (= z (WrapOp src (Concat (Item item) rest))) (nonempty-focus src)) ((first-head z item) (last-head z item)))
zipper-descend:0029	rule	249	WrapOp,needs-last-head,last-head,nonempty-focus	mixed	proved-bounded	eager_wrap_set_equiv,zipper_wrap_materialization_equiv,arbitrary_zipper_wrap_set_equiv,set_child_wrap_hit,set_terminal_wrap,wrap_unwrap_left_inverse_a,wrap_unwrap_left_inverse_b,wrap_unwrap_left_inverse_ab,wrap_unwrap_restriction_a,wrap_unwrap_restriction_b	mixed FOL plus bounded evidence; weakest proof tier is bounded	(rule ((needs-last-head z) (= z (WrapOp src (Concat (Item item) rest))) (nonempty-focus src)) ((last-head z item)))
